AIRPORT,Year,INBOUND FRIEGHT,OUTBOUND FREIGHT,INBOUND MAIL,OUTBOUND MAIL
HOBART,2007-08,0.0,0.0,0.0,0.0
HOBART,2008-09,0.0,0.0,0.0,0.0
HOBART,2009-10,0.0,0.0,0.0,0.0
HOBART,2010-11,0.0,0.0,0.0,0.0
HOBART,2011-12,0.0,0.0,0.0,0.0
HOBART,2012-13,0.0,0.0,0.0,0.0
HOBART,2013-14,0.0,0.0,0.0,0.0
HOBART,2014-15,0.0,0.0,0.0,0.0
HOBART,2015-16,0.0,0.0,0.0,0.0
HOBART,2016-17,0.0,0.0,0.0,0.0
HOBART,2017-18,0.0,0.0,0.0,0.0
HOBART,2018-19,0.0,0.0,0.0,0.0
HOBART,2019-20,1.888,0.0,0.0,0.0
HOBART,2020-21,0.314,619.766,0.004,0.0
HOBART,2021-22,0.616,91.099,0.0,0.0
HOBART,2022-23,9.157,59.642,0.018,0.0
MELBOURNE,1985-86,31617.876,36588.579,244.167,996.762
MELBOURNE,1986-87,32097.709,44547.612,377.129,1215.074
MELBOURNE,1987-88,36718.199,45074.838,489.16,1340.423
MELBOURNE,1988-89,45701.965,39406.688,2618.348,1667.469
MELBOURNE,1989-90,46859.614,44409.889,2740.377,1621.364
MELBOURNE,1990-91,42309.645,47091.723,2786.408,1697.044
MELBOURNE,1991-92,43378.007,47839.198,2791.564,1661.741
MELBOURNE,1992-93,46188.395,54825.762,3001.566,1777.258
MELBOURNE,1993-94,53262.417,61700.297,3203.511,2020.422
MELBOURNE,1994-95,65899.135,70347.358,3076.824,1844.987
MELBOURNE,1995-96,71199.344,73665.696,3197.939,2110.655
MELBOURNE,1996-97,84683.307,75222.309,3395.05,2028.316
MELBOURNE,1997-98,79695.189,76125.284,3200.258,1794.114
MELBOURNE,1998-99,82412.351,79901.128,3071.088,1750.693
MELBOURNE,1999-00,99327.204,101405.539,3118.277,2780.226
MELBOURNE,2000-01,91377.118,98524.561,3321.454,3167.427
MELBOURNE,2001-02,82093.672,97395.299,3178.235,3638.872
MELBOURNE,2002-03,93814.107,95929.601,3202.501,3154.565
MELBOURNE,2003-04,96595.682,83943.808,3601.319,2932.514
MELBOURNE,2004-05,112137.025,88900.257,3932.284,2905.347
MELBOURNE,2005-06,107926.796,89156.164,4507.651,3020.432
MELBOURNE,2006-07,111883.069,91629.085,5053.333,3341.716
MELBOURNE,2007-08,115255.518,91183.848,6058.147,3073.091
MELBOURNE,2008-09,96521.758,96674.886,5359.283,3068.765
MELBOURNE,2009-10,107705.661,91327.493,6714.067,2266.165
MELBOURNE,2010-11,126306.004,99229.122,8250.894,1899.872
MELBOURNE,2011-12,126528.883,106683.112,8200.854,2079.987
MELBOURNE,2012-13,127716.931,116835.854,7731.096,2008.187
MELBOURNE,2013-14,131028.826,121809.005,7375.979,2251.526
MELBOURNE,2014-15,132050.67,140816.232,8545.891,2526.446
MELBOURNE,2015-16,122639.209,163998.818,6666.933,2823.97
MELBOURNE,2016-17,132054.037,158772.723,6837.866,2977.677
MELBOURNE,2017-18,146932.345,178519.263,6695.244,3096.454
MELBOURNE,2018-19,136415.19,183100.435,6136.755,3871.905
MELBOURNE,2019-20,114869.4,147187.514,4955.752,3720.301
MELBOURNE,2020-21,102477.845,102511.28,2523.153,2645.677
MELBOURNE,2021-22,130807.042,114069.813,2030.137,1990.13
MELBOURNE,2022-23,118102.234,118006.286,2509.537,2646.206
NEWCASTLE,1986-87,0.0,0.0,0.0,0.0
NEWCASTLE,1987-88,0.0,0.0,0.0,0.0
NEWCASTLE,1988-89,0.0,0.0,0.0,0.0
NEWCASTLE,1989-90,0.0,0.0,0.0,0.0
NEWCASTLE,1990-91,0.0,0.0,0.0,0.0
NEWCASTLE,1991-92,0.0,0.0,0.0,0.0
NEWCASTLE,1992-93,0.0,0.0,0.0,0.0
